Incident Number,Status,DateTime,Priority,Weight,Owner
3143,New,26/02/2023 04:11:35,3,2,DT
3143,In-progress,26/02/2023 06:11:35,3,2,DT
3496,New,13/01/2023 06:08:05,5,3,DT
3496,In-progress,13/01/2023 10:08:05,5,3,DT
3132,New,16/01/2023 07:03:05,3,3,DT
3132,In-progress,16/01/2023 12:03:05,3,3,DT
3422,New,11/01/2023 18:10:23,2,4,DT
3422,In-progress,11/01/2023 20:10:23,2,4,DT
2686,New,16/02/2023 16:19:26,1,3,DT
2686,In-progress,16/02/2023 21:19:26,1,3,DT
3241,New,17/01/2023 04:56:42,2,2,DT
3241,In-progress,17/01/2023 06:56:42,2,2,DT
2974,New,11/12/2022 14:21:31,4,1,DT
2974,In-progress,11/12/2022 19:21:31,4,1,DT
2826,New,20/01/2023 23:37:18,5,1,DT
2826,In-progress,21/01/2023 02:37:18,5,1,DT
3182,New,05/12/2022 15:24:27,3,1,DT
3182,In-progress,05/12/2022 19:24:27,3,1,DT
2871,New,06/02/2023 13:40:25,5,4,DT
2871,In-progress,06/02/2023 18:40:25,5,4,DT
2795,New,08/12/2022 07:41:58,3,3,DT
2795,In-progress,08/12/2022 12:41:58,3,3,DT
2545,New,13/01/2023 07:07:10,4,3,DT
2545,In-progress,13/01/2023 09:07:10,4,3,DT
2681,New,15/02/2023 08:42:41,1,3,DT
2681,In-progress,15/02/2023 10:42:41,1,3,DT
2857,New,15/01/2023 07:00:41,3,2,DT
2857,In-progress,15/01/2023 11:00:41,3,2,DT
2510,New,24/01/2023 00:52:20,4,1,DT
2510,In-progress,24/01/2023 03:52:20,4,1,DT
2846,New,02/01/2023 23:21:21,3,4,DT
2846,In-progress,03/01/2023 02:21:21,3,4,DT
2814,New,13/02/2023 13:25:25,3,3,DT
2814,In-progress,13/02/2023 15:25:25,3,3,DT
2639,New,30/12/2022 13:00:55,1,1,DT
2639,In-progress,30/12/2022 16:00:55,1,1,DT
2882,New,21/12/2022 12:05:21,2,4,DT
2882,In-progress,21/12/2022 16:05:21,2,4,DT
2717,New,06/01/2023 19:30:17,5,4,DT
2717,In-progress,06/01/2023 21:30:17,5,4,DT
