Incident Number,Status,DateTime,Priority,Weight,Owner
3305,In-progress,11/01/2023 20:33:18,2,2,ACN
2934,In-progress,22/01/2023 16:43:28,1,3,ACN
2641,In-progress,22/01/2023 06:46:22,3,4,DT
3335,In-progress,28/01/2023 18:38:00,5,4,DT
2536,In-progress,20/02/2023 11:43:26,3,5,DT
3240,In-progress,21/02/2023 18:37:31,1,1,ACN
3272,New,21/12/2022 01:06:23,4,3,DT
3377,In-progress,01/02/2023 11:16:11,5,4,ACN
3160,In-progress,06/02/2023 07:16:28,3,5,DT
3293,In-progress,05/12/2022 06:09:59,2,5,DT
3257,In-progress,11/01/2023 22:36:43,4,3,ACN
2958,In-progress,20/12/2022 01:05:14,5,4,DT
2508,In-progress,31/01/2023 20:19:33,4,3,ACN
3020,New,10/12/2022 05:13:27,2,3,DT
2676,In-progress,28/12/2022 16:33:14,3,3,ACN
3405,In-progress,06/01/2023 08:38:27,3,3,DT
2809,In-progress,01/01/2023 18:49:33,1,1,DT
3134,New,07/12/2022 20:27:59,1,1,DT
2861,In-progress,24/12/2022 22:50:39,3,5,DT
2909,In-progress,19/12/2022 18:24:07,1,5,ACN
3353,In-progress,23/12/2022 18:10:23,1,2,ACN
2612,In-progress,09/12/2022 01:39:30,5,1,DT
2823,In-progress,10/01/2023 04:31:25,5,4,DT
3351,In-progress,23/01/2023 05:47:59,4,3,DT
2937,In-progress,15/12/2022 15:44:32,1,2,DT
2771,In-progress,15/02/2023 16:56:24,2,2,DT
2827,New,17/12/2022 23:01:37,1,3,DT
2918,New,17/01/2023 15:03:23,3,3,DT
3178,New,04/12/2022 23:19:24,1,1,DT
3144,New,12/12/2022 15:14:17,1,4,DT
3396,In-progress,05/01/2023 12:45:59,2,4,DT
3350,In-progress,15/01/2023 18:27:17,1,4,DT
2906,In-progress,17/02/2023 16:43:12,2,2,DT
2760,In-progress,01/02/2023 05:43:22,3,4,ACN
2718,In-progress,25/02/2023 04:30:07,2,4,DT
3482,In-progress,24/01/2023 04:57:54,3,5,ACN
3409,New,12/12/2022 03:25:36,2,3,DT
2937,In-progress,15/12/2022 19:44:32,1,2,ACN
3028,In-progress,17/12/2022 04:00:46,2,2,ACN
3454,In-progress,04/01/2023 11:28:57,2,1,ACN
2508,New,02/01/2023 06:58:16,3,1,DT
3078,In-progress,14/01/2023 13:25:43,5,3,DT
3487,New,10/02/2023 09:11:26,3,5,DT
2590,In-progress,22/01/2023 09:36:22,3,5,DT
3130,In-progress,20/12/2022 13:00:53,3,4,DT
2910,New,30/12/2022 04:40:40,4,3,DT
2691,In-progress,14/02/2023 21:36:17,3,3,DT
2889,In-progress,13/12/2022 09:36:15,4,5,ACN
3437,In-progress,16/01/2023 06:21:34,5,3,DT
2631,New,28/01/2023 18:03:41,2,2,DT
2763,New,20/01/2023 22:51:19,4,1,DT
2590,New,03/01/2023 18:21:36,1,1,DT
2810,New,23/01/2023 05:04:36,2,3,DT
2845,New,07/12/2022 07:05:58,4,4,DT
3084,In-progress,27/02/2023 16:15:43,2,1,DT
3462,New,19/12/2022 00:05:31,1,5,DT
3355,New,22/02/2023 12:07:29,5,5,DT
2863,In-progress,31/12/2022 11:28:28,1,3,ACN
2924,In-progress,10/01/2023 16:19:25,5,3,DT
2576,In-progress,23/12/2022 19:47:51,3,4,DT
3139,New,12/02/2023 17:08:17,1,4,DT
3458,New,17/01/2023 02:40:14,4,3,DT
2989,In-progress,18/12/2022 22:43:20,1,4,ACN
2791,In-progress,07/12/2022 11:13:02,1,5,ACN
2808,In-progress,15/01/2023 09:48:43,2,2,ACN
3229,New,02/02/2023 22:30:35,1,3,DT
3196,In-progress,09/12/2022 10:43:56,3,1,DT
2660,In-progress,06/01/2023 18:55:28,5,4,DT
2746,In-progress,04/01/2023 17:06:00,1,1,DT
2670,New,31/12/2022 01:01:50,3,5,DT
3487,In-progress,10/02/2023 14:11:26,3,5,DT
3112,New,09/02/2023 15:19:50,1,1,DT
3006,In-progress,02/02/2023 22:01:02,2,4,DT
3053,New,11/02/2023 13:26:19,3,2,DT
3441,In-progress,15/01/2023 10:36:55,4,4,DT
3094,New,22/01/2023 00:48:15,4,5,DT
2609,In-progress,09/01/2023 08:35:11,3,4,ACN
2777,New,11/12/2022 13:05:18,1,4,DT
2586,New,06/01/2023 10:53:28,1,5,DT
2790,New,27/01/2023 18:33:22,2,5,DT
2969,In-progress,06/01/2023 23:41:29,4,4,ACN
3083,New,13/02/2023 17:31:17,2,3,DT
3200,In-progress,27/01/2023 21:03:10,4,1,DT
3283,In-progress,09/01/2023 06:58:26,5,2,DT
2584,In-progress,30/01/2023 06:39:47,1,4,DT
2910,In-progress,25/02/2023 11:03:04,3,1,DT
3259,In-progress,22/02/2023 08:57:31,4,2,ACN
2631,In-progress,10/02/2023 10:04:41,2,1,DT
2955,In-progress,25/12/2022 03:44:29,3,1,DT
2808,In-progress,17/12/2022 21:14:10,2,1,DT
2740,In-progress,05/01/2023 11:26:15,4,2,DT
3203,In-progress,16/12/2022 00:08:23,1,4,ACN
2925,In-progress,07/12/2022 21:31:30,5,2,DT
3059,New,11/12/2022 10:51:35,5,4,DT
3313,New,05/12/2022 12:49:25,4,3,DT
2643,New,14/01/2023 03:40:22,1,5,DT
2905,In-progress,31/01/2023 20:48:58,5,5,ACN
2612,New,12/12/2022 09:44:57,1,2,DT
2794,New,09/12/2022 17:05:42,1,5,DT
2816,New,15/12/2022 16:46:13,1,2,DT
2514,In-progress,31/01/2023 20:42:18,2,3,ACN
3455,In-progress,24/02/2023 06:31:40,4,3,ACN
2602,In-progress,10/01/2023 06:24:47,2,4,DT
3429,New,01/02/2023 04:40:47,4,3,DT
2718,In-progress,17/01/2023 13:45:50,3,3,ACN
2848,In-progress,28/12/2022 07:18:32,2,2,ACN
2930,New,13/12/2022 13:19:45,3,1,DT
3045,In-progress,13/02/2023 04:42:42,3,2,DT
